Payment Type,Transaction Time,Settlement Time,Order,Customer Email,Credit Card Number Mask,Refund Amount,Amount,3D Secure,Card Association,Acquiring Bank,Bank On Us/ Off Us,Transaction Fee,Merchant Has,Refund,Payment Options,Coins Share,Transaction ID,TREF ID
shopeepay,"Jun 10 2023, 09:05","Jun 10 2023, 09:05",f4e0c290-81a8-4fc7-84d1-641bf1063f67,,,0.0,640686.0,No Auth,,shopeepay,,9610.29,631075.71,false,,,eb586609-d8c7-42ea-9370-54d51cea1164,
shopeepay,"Jun 10 2023, 09:30","Jun 10 2023, 09:30",b42bd10b-1ee0-4513-a735-496214005b27,,,0.0,1009909.0,No Auth,,shopeepay,,15148.635,994760.365,false,,,a4aaf0f4-f11b-4375-9c63-ffe49da753ea,
shopeepay,"Jun 10 2023, 13:01","Jun 10 2023, 13:01",34ad956c-090e-4955-9cce-a45b9f48677c,,,0.0,243600.0,No Auth,,shopeepay,,3654.0,239946.0,false,,,31b26821-1a00-45a3-b439-89ce6f0ca174,
shopeepay,"Jun 10 2023, 14:39","Jun 10 2023, 14:40",2a14fa0d-7779-4666-bb21-253f29203fa2,,,0.0,253666.0,No Auth,,shopeepay,,3804.99,249861.01,false,,,b899b8fb-8692-42d1-8a60-7df2168389fb,
shopeepay,"Jun 10 2023, 14:42","Jun 10 2023, 14:42",bd46133a-fb47-47a1-a5e7-c7f4a2d9e458,,,0.0,253750.0,No Auth,,shopeepay,,3806.25,249943.75,false,,,1d2deccf-e9b3-494c-a57e-094f565a7cd0,
shopeepay,"Jun 10 2023, 16:55","Jun 10 2023, 16:55",c5bf7948-fee0-468f-8964-2721fa1ee3b1,,,0.0,640090.0,No Auth,,shopeepay,,9601.35,630488.65,false,,,34974636-c980-4a38-a4a3-b63ce1c9ed69,
shopeepay,"Jun 10 2023, 18:14","Jun 10 2023, 18:14",b90564e4-2b37-4067-a200-6f567cb27703,,,0.0,472822.0,No Auth,,shopeepay,,7092.33,465729.67,false,,,140527e3-8950-4420-a130-6c7ee89c2cc3,
shopeepay,"Jun 10 2023, 18:27","Jun 10 2023, 18:28",edad8a07-0f76-4482-8fab-d866da151a9d,,,0.0,831285.0,No Auth,,shopeepay,,12469.275,818815.725,false,,,556bd9fc-11e6-4b74-a3fe-cfffa9b6d8d8,
shopeepay,"Jun 10 2023, 19:13","Jun 10 2023, 19:14",b73fc709-9054-4b4e-a4cf-3316353cc446,,,0.0,346697.0,No Auth,,shopeepay,,5200.455,341496.545,false,,,f49a317c-1a13-42b1-b6f3-ad0c89e5f704,
shopeepay,"Jun 10 2023, 21:35","Jun 10 2023, 21:36",0319bd55-586c-4abd-8f16-199958dba52e,,,0.0,208075.0,No Auth,,shopeepay,,3121.125,204953.875,false,,,bd915a44-dd34-4d53-9047-98b4a5cc83ec,
shopeepay,"Jun 10 2023, 22:13","Jun 10 2023, 22:14",8d3e3ac7-ad73-4049-a0a3-3a405ea7c273,,,0.0,10150.0,No Auth,,shopeepay,,152.25,9997.75,false,,,aa5d2bc9-8745-4114-ab40-f287815bf38c,
shopeepay,"Jun 10 2023, 22:14","Jun 10 2023, 22:15",c1909375-21c9-4b38-bdcd-b6a82eb90483,,,0.0,10150.0,No Auth,,shopeepay,,152.25,9997.75,false,,,be1290b9-0337-4ec1-b475-07bdd32a8087,
shopeepay,"Jun 10 2023, 22:43","Jun 10 2023, 22:43",ce0926af-8ae1-4bba-ab38-c405ba67516c,,,0.0,243600.0,No Auth,,shopeepay,,3654.0,239946.0,false,,,30310b37-037d-48e9-aa5d-a38fe3b1ee57,
shopeepay,"Jun 10 2023, 23:11","Jun 10 2023, 23:11",404b6beb-bad8-4680-982f-efa352e1d9c7,,,0.0,1294205.0,No Auth,,shopeepay,,19413.075,1274791.925,false,,,2bcaa1f4-406b-4071-9ad1-e13f6e254d88,
qris,"Jun 10 2023, 13:04","Jun 10 2023, 13:05",399fd679-d44a-4736-99b7-2faeeac0dc6d,,,0.0,230996.0,No Auth,,airpay shopee,On us,1616.971999999999769004,229379.028000000000230996,false,,,603819c0-c06b-41cb-9580-277ea1c256f9,
qris,"Jun 10 2023, 23:54","Jun 10 2023, 23:57",3fcca731-af54-42f3-929c-617a5aeb1d22,,,0.0,561814.0,No Auth,,airpay shopee,On us,3932.697999999999438186,557881.302000000000561814,false,,,c93bd992-6fa6-4027-90cf-2ae9f6a1f127,
