Order,Payment Type,Transaction Time,Settlement Time,Refund Amount,Amount,Acquiring Bank,Transaction Fee,Merchant Has,Refund,Payment Options
0e5e37cd-8ee1-414f-852f-5ba42c07db1c,bank_transfer,"Jun 12 2023, 20:20","Jun 12 2023, 20:20",0.0,487885.0,bni,3850.0,484035.0,False,
a20aa9e8-7ff0-4487-a583-74e63eabff48,bank_transfer,"Jun 12 2023, 20:33","Jun 12 2023, 20:34",0.0,584834.0,bni,3850.0,580984.0,False,
b1bb8e4b-268c-435a-b986-e9f07e5160d6,bank_transfer,"Jun 12 2023, 21:16","Jun 12 2023, 21:18",0.0,115035.0,bni,3850.0,111185.0,False,
be28e40f-7c13-4d65-a140-31445335c233,bank_transfer,"Jun 12 2023, 23:57","Jun 13 2023, 00:03",0.0,1666000.0,bni,3850.0,1662150.0,False,
d39b5438-b430-4b48-aecd-0303452e4e4b,mandiri_bill,"Jun 12 2023, 00:54","Jun 12 2023, 01:00",0.0,851760.0,mandiri,3850.0,847910.0,False,
155215c5-10bd-422e-9ce0-fba3c10fedef,mandiri_bill,"Jun 12 2023, 02:44","Jun 12 2023, 02:45",0.0,2517063.0,mandiri,3850.0,2513213.0,False,
8a348cbb-4622-487b-a495-319ce21a3e67,mandiri_bill,"Jun 12 2023, 05:23","Jun 12 2023, 05:23",0.0,298665.0,mandiri,3850.0,294815.0,False,
3d3a9c62-867c-416c-ae69-9c78697acae1,mandiri_bill,"Jun 12 2023, 06:50","Jun 12 2023, 06:52",0.0,2395867.0,mandiri,3850.0,2392017.0,False,
ed22c310-2ece-45f6-98e9-8a9f1a28a462,mandiri_bill,"Jun 12 2023, 07:08","Jun 12 2023, 07:09",0.0,930648.0,mandiri,3850.0,926798.0,False,
b06ffa6c-f06d-4c63-b084-d5b1d06a5c22,mandiri_bill,"Jun 12 2023, 07:08","Jun 12 2023, 07:09",0.0,950000.0,mandiri,3850.0,946150.0,False,
0df4063d-168a-4693-abc7-b8432b3f840b,mandiri_bill,"Jun 12 2023, 07:17","Jun 12 2023, 07:21",0.0,714602.0,mandiri,3850.0,710752.0,False,
99445550-d235-414a-a724-3253aa027fe6,mandiri_bill,"Jun 12 2023, 08:10","Jun 12 2023, 08:11",0.0,630271.0,mandiri,3850.0,626421.0,False,
59af9c0e-1cf6-4793-9584-a011a0ed3631,mandiri_bill,"Jun 12 2023, 08:16","Jun 12 2023, 08:17",0.0,500000.0,mandiri,3850.0,496150.0,False,
c78a0244-89c2-4638-82d4-e7710bf6dac1,mandiri_bill,"Jun 12 2023, 08:30","Jun 12 2023, 08:31",0.0,1609234.0,mandiri,3850.0,1605384.0,False,
ecb0122d-6213-4fe4-8113-79541c301562,mandiri_bill,"Jun 12 2023, 08:43","Jun 12 2023, 08:44",0.0,425315.0,mandiri,3850.0,421465.0,False,
8313e43c-e8ad-46b2-b744-a9fd6b629108,mandiri_bill,"Jun 12 2023, 08:48","Jun 12 2023, 08:48",0.0,600000.0,mandiri,3850.0,596150.0,False,
48161ca6-b4fd-4bbf-add7-f316b1e1176c,mandiri_bill,"Jun 12 2023, 09:23","Jun 12 2023, 09:25",0.0,819000.0,mandiri,3850.0,815150.0,False,
6880100c-e38e-4121-9b62-e0d05e3dca5c,mandiri_bill,"Jun 12 2023, 10:23","Jun 12 2023, 10:24",0.0,2318418.0,mandiri,3850.0,2314568.0,False,
1ad70482-10f8-48cd-a674-87a367809ac1,mandiri_bill,"Jun 12 2023, 10:37","Jun 12 2023, 10:39",0.0,766667.0,mandiri,3850.0,762817.0,False,
998375df-a5a8-4332-b8a1-23f33b74c812,mandiri_bill,"Jun 12 2023, 11:16","Jun 12 2023, 11:19",0.0,1788750.0,mandiri,3850.0,1784900.0,False,
39610a63-d2db-4733-9d29-935c19c83c4e,mandiri_bill,"Jun 12 2023, 11:53","Jun 12 2023, 11:54",0.0,1303500.0,mandiri,3850.0,1299650.0,False,
9042d4a7-aa5f-4b9a-a7fa-28622b04f9d3,mandiri_bill,"Jun 12 2023, 11:55","Jun 12 2023, 11:56",0.0,994984.0,mandiri,3850.0,991134.0,False,
b815836a-cae7-4235-b921-75fe575b4f48,mandiri_bill,"Jun 12 2023, 12:25","Jun 12 2023, 12:26",0.0,1616336.0,mandiri,3850.0,1612486.0,False,
c5ab7e6c-2d5d-4444-abd9-d5bbeb492684,mandiri_bill,"Jun 12 2023, 12:38","Jun 12 2023, 12:40",0.0,1054078.0,mandiri,3850.0,1050228.0,False,
0178b800-89f4-424e-9058-ce27fa558513,mandiri_bill,"Jun 12 2023, 12:40","Jun 12 2023, 13:00",0.0,1267714.0,mandiri,3850.0,1263864.0,False,
